Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2019-09-03 18:45:00	2019-09-03 18:55:00	116.989	-1.707	2.99	-1.552
2019-09-04 02:35:00	2019-09-04 02:45:00	58.58	-3.357	1.948	1.172
2019-09-04 07:25:00	2019-09-04 07:35:00	120.947	-0.945	3.142	-1.873
2019-09-06 04:00:00	2019-09-06 04:10:00	120.439	-0.725	3.907	-2.318
2019-09-06 07:20:00	2019-09-06 07:30:00	120.254	-1.058	3.858	-2.277
2019-09-06 12:05:00	2019-09-06 12:15:00	103.863	-5.103	2.05	-0.548
2019-09-06 12:35:00	2019-09-06 12:45:00	79.215	-5.418	1.632	0.295
2019-09-06 13:20:00	2019-09-06 13:30:00	23.475	-5.532	0.675	1.59
2019-09-06 13:50:00	2019-09-06 14:00:00	28.994	-5.342	0.865	1.565
2019-09-06 14:45:00	2019-09-06 14:55:00	17.175	-4.845	0.738	2.263
2019-09-06 16:45:00	2019-09-06 16:55:00	110.755	-4.202	2.74	-1.042
2019-09-06 17:15:00	2019-09-06 17:25:00	113.54	-3.113	3.207	-1.41
2019-09-06 17:45:00	2019-09-06 17:55:00	108.185	-3.325	3.168	-1.053
2019-09-07 04:25:00	2019-09-07 04:35:00	93.742	-4.7	1.928	-0.055
2019-09-07 05:15:00	2019-09-07 05:25:00	54.3	-3.997	2.032	1.45
2019-09-07 08:45:00	2019-09-07 08:55:00	151.915	-2.653	0.997	-2.025
2019-09-07 12:05:00	2019-09-07 12:15:00	85.981	-3.272	1.573	0.1
2019-09-07 15:35:00	2019-09-07 15:45:00	56.477	-0.087	2.422	1.627
2019-09-07 19:00:00	2019-09-07 19:10:00	105.325	-1.363	3.302	-0.96
2019-09-07 19:30:00	2019-09-07 19:40:00	110.259	-2.668	2.728	-1.013
2019-09-09 16:05:00	2019-09-09 16:15:00	139.669	-0.97	2.543	-2.997
2019-09-09 16:35:00	2019-09-09 16:45:00	148.004	-0.337	2.268	-3.635
2019-09-09 23:10:00	2019-09-09 23:20:00	223.586	-4.108	-1.18	-1.218
